gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
880230,,"Wagner Park",, -27.595766, 151.940292,,,0,
880231,,"Hoffman St",, -27.594044, 151.940552,,,0,
880232,,"Rutkin St",, -27.593645, 151.941681,,,0,
880233,,"Herzer Ct",, -27.593838, 151.943085,,,0,
880234,,"Lemway Ave",, -27.592922, 151.943954,,,0,
880235,,"Jakirralee Ct",, -27.593803, 151.953262,,,0,
880236,,"Middle Ridge Park",, -27.594288, 151.956619,,,0,
880237,,"Blue Care Village",, -27.594566, 151.958664,,,0,
880238,,"Stenner / Ramsay",, -27.594749, 151.960037,,,0,
880239,,"Bagot St",, -27.592640, 151.961212,,,0,
880240,,"Aster St",, -27.590422, 151.961609,,,0,
880241,,"Hazel St",, -27.588816, 151.961899,,,0,
880242,,"Ramsay / Alderley",, -27.587082, 151.962204,,,0,
880243,,"Hogan St",, -27.586317, 151.959427,,,0,
880244,,"Wilma St",, -27.585701, 151.957901,,,0,
880245,,"Kellys Corner",, -27.580175, 151.958878,,,0,
880246,,"Ravenscourt St",, -27.579187, 151.955933,,,0,
880247,,"Salem Lutheran Retirement Home",, -27.578108, 151.954803,,,0,
880248,,"Cooper St",, -27.576721, 151.955048,,,0,
880249,,"Hume / Long",, -27.574659, 151.955429,,,0,
880250,,"Somerset St",, -27.573715, 151.955566,,,0,
880251,,"Market St",, -27.572702, 151.955734,,,0,
880252,,"Groom Park",, -27.570183, 151.956177,,,0,
880253,,"Kirk St",, -27.568367, 151.956482,,,0,
880254,,"Hopper Centre",, -27.566448, 151.956741,,,0,
880255,,"Gardentown Shopping Centre",, -27.560896, 151.951599,,,0,
880256,,"Grand Central Shopping Centre",, -27.560638, 151.949677,,,0,
880257,,"Rens St",, -27.558228, 151.947556,,,0,
880258,,"Cory St",, -27.557896, 151.945023,,,0,
880259,,"St Ursula's School",, -27.556568, 151.943878,,,0,
880260,,"West / Campbell",, -27.554745, 151.944199,,,0,
880261,,"Charles St",, -27.556345, 151.933441,,,0,
880262,,"Wallace St",, -27.557749, 151.933197,,,0,
880263,,"Edith St",, -27.560343, 151.932709,,,0,
880264,,"The Tor Centre",, -27.561920, 151.927673,,,0,
880265,,"Charles St",, -27.555420, 151.928818,,,0,
880266,,"Berry St",, -27.553741, 151.927933,,,0,
880267,,"Greenwattle / Taylor",, -27.551611, 151.917267,,,0,
880268,,"Williamson Lane",, -27.550438, 151.917496,,,0,
880269,,"Saltram St",, -27.531387, 151.921722,,,0,
880270,,"Greenwattle / Saltram",, -27.531639, 151.920959,,,0,
880271,,"Barooga Ct",, -27.534595, 151.920761,,,0,
880272,,"Wine Dr",, -27.534008, 151.921890,,,0,
